trial_id,condition,modality,hand,site,p2_latency_ms,p2_amp_uv,p2_reason,p3_latency_ms,p3_amp_uv,p3_reason,cnv_mean_uv,cnv_slope_uv_per_s,cnv_onset_s
117,trial,VA,right,O1+O2,250.0,0.1441475827411477,,538.0,5.796707236701315,,-1.3467409964666117,-4.80835152192625,0.76
120,trial,VA,right,O1+O2,230.0,8.645749367096986,,412.0,8.450567106570237,,-7.509181009905291,-13.576450384878896,0.3
122,trial,VA,right,O1+O2,250.0,3.4144294523358774,,588.0,12.358874721037218,,-3.536534777589909,-0.7657920257873893,0.3
124,trial,VA,right,O1+O2,250.0,1.6755051082161505,,322.0,5.620032250526497,,-6.0796314543245,-6.1224846938761415,0.3
125,trial,VA,right,O1+O2,198.0,5.729836645629909,,356.0,6.6656571831595794,,-1.5025426934631971,0.015350254740322828,
126,trial,VA,right,O1+O2,250.0,3.9331922087732734,,410.0,7.343605270451466,,-3.2611293841348172,-3.661166745693067,0.508
128,trial,VA,right,O1+O2,218.0,-2.507299375835206,,570.0,2.7062595514955152,,-3.0937023230343264,-14.073683783711603,0.498
130,trial,VA,right,O1+O2,238.0,1.3314051652827879,,368.0,4.8605432862912314,,-3.2040863685681003,-9.032726815319638,0.58
134,trial,VA,right,O1+O2,204.0,1.9406038004648414,,468.0,8.760901629814104,,-2.6172018841107905,-5.164986056213563,0.55
136,trial,VA,right,O1+O2,244.0,2.2882043970108064,,368.0,10.191265941188322,,-3.428094179605122,0.7652714939543243,0.3
138,trial,VA,right,O1+O2,246.0,2.465797657973247,,466.0,1.4479879542396739,,-2.0381965582988077,-0.4840140432741015,0.356
142,trial,VA,right,O1+O2,188.0,1.2635338876371276,,594.0,5.097265697354375,,-0.5952178499218982,3.07767954393709,
143,trial,VA,right,O1+O2,242.0,5.550001483487088,,508.0,13.062024143370584,,-5.073186126337556,-1.6536283031055758,0.3
144,trial,VA,right,O1+O2,250.0,-9.683416451269867,,370.0,-0.5656934062633729,,-1.5971136189334811,-1.6280542096379182,0.536
148,trial,VA,right,O1+O2,242.0,1.1236837815748841,,522.0,4.604015654814407,,-4.453275803389634,-6.370726355154552,0.3
150,trial,VA,right,O1+O2,234.0,5.023059369628358,,554.0,8.809566150321857,,-0.3724653032359934,3.3851480349009546,
151,trial,VA,right,O1+O2,180.0,3.4032686169303275,,540.0,7.943610405339809,,-2.0680796466408493,5.309721619637143,0.3
152,trial,VA,right,O1+O2,232.0,6.80944390397045,,388.0,13.459667802079974,,-0.6217287006420663,3.5829522430676497,
155,trial,VA,right,O1+O2,166.0,-2.1809138501123293,,600.0,-2.3432200249082458,,-1.1299442813550564,4.0853418168640045,0.45
156,trial,VA,right,O1+O2,208.0,6.639937758755883,,552.0,11.781276569145382,,-1.6438295962815834,4.640342557276706,0.3
158,trial,VA,right,O1+O2,204.0,4.659185809673845,,360.0,7.482603521847059,,-0.7455418833221243,5.7767994308469754,0.3
162,trial,VA,right,O1+O2,242.0,5.772771560329202,,576.0,7.925887293524286,,-3.7633056301695977,-2.4937668863278803,0.3
163,trial,VA,right,O1+O2,226.0,5.0445349419434855,,306.0,6.483612107181733,,-3.4499841412928314,-0.4522403965902475,0.3
165,trial,VA,right,O1+O2,210.0,-1.7899226644600459,,516.0,-1.432875382005107,,1.1349871306008197,-1.8797648344924243,
167,trial,VA,right,O1+O2,250.0,3.08632549430134,,364.0,8.964695142606203,,-3.5314917003876873,-2.0318291295560664,0.3
170,trial,VA,right,O1+O2,230.0,-1.7087414681265622,,598.0,-0.0030188319490069837,,-1.0998348642993347,2.9993595739838095,0.3
-1,avg,VA,right,O1+O2,250.0,1.003916032720054,,366.0,3.696045981490164,,-2.491610756010295,-1.730971260598828,0.3
