modality,model,time_s,mean_bal_acc,sem_bal_acc
VA,CSP+LDA,1.5999999999999996,0.3166666666666667,0.09559753599799992
VA,CSP+LDA,1.7000000000000002,0.3566666666666667,0.060690471520110416
VA,CSP+LDA,1.7999999999999998,0.35666666666666663,0.07593857166596343
VA,CSP+LDA,1.9000000000000004,0.33999999999999997,0.0824284201258549
VA,CSP+LDA,2.0,0.38,0.0896598510420851
VA,CSP+LDA,2.0999999999999996,0.36333333333333334,0.09977753031397177
VA,CSP+LDA,2.2,0.3433333333333333,0.10376254944182253
VA,CSP+LDA,2.3,0.32666666666666666,0.06204836822995428
VA,CSP+LDA,2.4000000000000004,0.3466666666666667,0.052014955114424125
VA,CSP+LDA,2.5,0.4033333333333333,0.056617625838210096
VA,CSP+LDA,2.5999999999999996,0.42000000000000004,0.04841946348777984
VA,CSP+LDA,2.7,0.42000000000000004,0.04229525846816507
VA,CSP+LDA,2.8,0.42333333333333334,0.04428443418528809
VA,CSP+LDA,2.9000000000000004,0.3466666666666667,0.038873012632302
VA,CSP+LDA,3.0,0.4,0.040824829046386304
VA,CSP+LDA,3.0999999999999996,0.3833333333333333,0.06810938913900849
VA,CSP+LDA,3.2,0.45666666666666667,0.056911236929879566
VA,CSP+LDA,3.3,0.3466666666666667,0.038873012632302
VA,CSP+LDA,3.4000000000000004,0.4,0.044721359549995794
VA,CSP+LDA,3.5,0.41999999999999993,0.07982620009885363
VA,CSP+LDA,3.5999999999999996,0.43666666666666665,0.061779176642835464
VA,CSP+LDA,3.6999999999999993,0.3833333333333333,0.05892556509887896
VA,CSP+LDA,3.8000000000000007,0.36,0.04333333333333333
VA,CSP+LDA,3.9000000000000004,0.39666666666666667,0.06485025486114573
VA,CSP+LDA,4.0,0.38,0.05174724898753341
VA,CSP+LDA,4.1,0.4166666666666667,0.06561673228343176
VA,CSP+LDA,4.199999999999999,0.4333333333333333,0.0932440048713291
VA,CSP+LDA,4.300000000000001,0.3933333333333333,0.07968688725254613
VA,CSP+LDA,4.4,0.39666666666666667,0.07571877794400364
VA,CSP+LDA,4.5,0.41666666666666663,0.09999999999999999
VA,CSP+LDA,4.6,0.39666666666666667,0.07479601890772292
VA,CSP+LDA,4.699999999999999,0.32333333333333336,0.07612124831112824
VA,CSP+LDA,4.800000000000001,0.32666666666666666,0.0667915496983796
VA,CSP+LDA,4.9,0.3433333333333333,0.08621678104251708
VA,CSP+LDA,5.0,0.41,0.07648529270389177
VA,CSP+LDA,5.1,0.44666666666666666,0.09637888196533974
VA,CSP+LDA,5.199999999999999,0.44000000000000006,0.1024152766382481
VA,CSP+LDA,5.300000000000001,0.42666666666666664,0.08259674462242576
VA,CSP+LDA,5.4,0.48,0.08521215354109478
VA,CSP+LDA,5.5,0.4833333333333333,0.0927960727138337
VA,CSP+LDA,5.6,0.44666666666666666,0.053593117302711754
VA,CSP+LDA,5.699999999999999,0.45666666666666667,0.03358240279934982
VA,CSP+LDA,5.800000000000001,0.49333333333333335,0.01715938356831167
VA,CSP+LDA,5.9,0.48,0.04229525846816508
VA,CSP+LDA,6.0,0.45999999999999996,0.03894440481849308
VA,CSP+LDA,6.1,0.45999999999999996,0.03894440481849308
VA,CSP+LDA,6.199999999999999,0.45999999999999996,0.03894440481849308
VA,CSP+LDA,6.300000000000001,0.43999999999999995,0.043969686527576386
VA,CSP+LDA,6.4,0.39,0.03749073959733998
VA,CSP+LDA,6.5,0.39333333333333337,0.015456030825826174
VA,CSP+LDA,6.6,0.33999999999999997,0.028674417556808756
VA,CSP+LDA,6.699999999999999,0.34,0.0484767985741633
VA,CSP+LDA,6.800000000000001,0.32333333333333336,0.04268749491621899
VA,CSP+LDA,6.9,0.4133333333333334,0.0661227814162579
VA,CSP+LDA,7.0,0.41,0.06574360974438674
VA,CSP+LDA,7.1,0.4333333333333333,0.07870479302078395
VA,CSP+LDA,7.199999999999999,0.39,0.0642477842246546
VA,CSP+LDA,7.300000000000001,0.4066666666666666,0.08309967241545271
VA,CSP+LDA,7.4,0.4033333333333333,0.08154753215150046
VA,CSP+LDA,7.5,0.42333333333333334,0.09495613022162742
VA,CSP+LDA,7.6,0.4766666666666667,0.08409650541028575
VA,CSP+LDA,7.699999999999999,0.48666666666666664,0.07644896627453143
VA,CSP+LDA,7.800000000000001,0.47000000000000003,0.06155395104206462
VA,CSP+LDA,7.9,0.45999999999999996,0.07464731892186231
VA,CSP+LDA,8.0,0.36666666666666664,0.06078194176270156
VA,CSP+LDA,8.1,0.3333333333333333,0.07129749878735812
VA,CSP+LDA,8.2,0.3,0.050826502273256344
VA,CSP+LDA,8.3,0.37333333333333335,0.038224483137265716
VA,CSP+LDA,8.4,0.39666666666666667,0.021343747458109498
VA,CSP+LDA,8.5,0.4166666666666667,0.016666666666666663
VA,CSP+LDA,8.6,0.4333333333333333,0.015811388300841906
VA,CSP+LDA,8.7,0.45,0.02297341458681705
VA,CSP+LDA,8.8,0.39666666666666667,0.03741657386773942
VA,CSP+LDA,8.9,0.39333333333333337,0.021473497877875204
VA,CSP+LDA,9.0,0.43,0.056617625838210096
