modality,hand,band,trial,delta_erd_onset_s,delta_erd_peak_s,delta_pmbr_peak_s,delta_erd_amp_pct,delta_pmbr_amp_pct
VA,right,beta,1,0.0,1.1279999999999997,-0.07200000000000006,-4.156166,57.409088134765625
VA,right,beta,2,0.17999999999999994,-1.3080000000000003,2.055999999999999,5.942047,3.5631103515625
VA,right,beta,3,0.08000000000000002,-0.8799999999999999,-0.30400000000000027,-2.7718277,-215.1495361328125
VA,right,beta,4,-0.3400000000000001,-1.9480000000000002,1.008,2.0160904,38.20269775390625
VA,right,beta,5,-0.09200000000000003,-3.38,0.016000000000000014,-10.529182,-357.60791015625
VA,right,beta,6,0.064,0.6200000000000001,-1.2640000000000002,14.306778,117.45545959472656
VA,right,beta,7,1.188,-2.404,-0.7999999999999998,-3.9701004,130.05950927734375
VA,right,beta,8,0.09599999999999997,1.212,0.0519999999999996,-4.875229,40.27842712402344
VA,right,beta,9,,,,,
VA,right,beta,10,,,,,
VA,right,beta,11,-0.252,-2.0999999999999996,0.8999999999999995,1.4437408,156.00302124023438
VA,right,beta,12,-0.14800000000000002,-0.7720000000000002,0.7320000000000002,0.34483337,-100.26156616210938
VA,right,beta,13,0.572,0.752,-0.2320000000000002,-3.6932373,72.74174499511719
VA,right,beta,14,,,,,
VA,right,beta,15,-1.032,-0.3879999999999999,0.3960000000000008,-3.0328598,-44.66405487060547
VA,right,beta,16,-1.04,-3.0919999999999996,-1.4000000000000004,-5.2916718,264.75921630859375
VA,right,beta,17,-0.78,-0.04400000000000004,-0.24400000000000066,-4.2508774,144.6658477783203
VA,right,beta,18,-0.42000000000000004,0.8800000000000001,-0.15600000000000058,-0.36389923,-76.47590637207031
VA,right,beta,19,,,,,
VA,right,beta,20,,,,,
VA,right,beta,21,,,,,
VA,right,beta,22,,,,,
VA,right,beta,23,,,,,
VA,right,beta,24,,,,,
