modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
A,right,C3,beta,6,0.096,1.436,-82.31409,6.456,150.65225
A,right,C3,beta,7,1.192,2.996,-83.37187,6.78,441.70337
A,right,C3,beta,8,0.416,2.94,-83.58716,8.06,144.04767
A,right,C3,beta,9,1.3,2.6,-72.084045,8.244,105.37635
A,right,C3,beta,10,0.508,1.212,-84.20092,7.76,181.86209
A,right,C3,beta,11,0.008,3.632,-87.280685,6.368,99.11099
A,right,C3,beta,12,0.148,1.744,-89.57475,6.596,182.9321
A,right,C3,beta,13,1.328,1.432,-69.64407,8.276,215.44899
A,right,C3,beta,14,0.72,4.28,-87.55666,8.132,342.09964
A,right,C3,beta,15,0.516,1.152,-78.26571,8.468,356.20758
A,right,C3,beta,16,0.488,4.084,-87.98926,7.796,147.23784
A,right,C3,beta,17,0.376,3.276,-86.154495,7.3,119.032295
A,right,C3,beta,18,0.032,3.244,-93.20586,6.676,72.95656
A,right,C3,beta,19,0.532,0.872,-89.544495,7.24,111.52665
A,right,C3,beta,20,0.14,2.532,-87.365524,6.888,178.87994
A,right,C3,beta,21,0.0,2.88,-70.46742,6.38,803.4666
A,right,C3,beta,22,0.816,1.892,-88.15502,6.276,99.28791
A,right,C3,beta,23,0.476,2.204,-84.91917,8.216,188.3405
A,right,C3,beta,24,0.208,2.508,-88.77307,6.368,115.016205
A,right,C3,beta,25,0.0,1.576,-80.45782,8.272,401.93643
A,right,C3,beta,26,0.728,3.992,-85.07219,8.388,316.16068
A,right,C3,beta,27,0.644,2.512,-81.27985,8.3,397.99304
A,right,C3,beta,28,0.088,0.564,-87.87694,8.308,10.339083
A,right,C3,beta,29,0.012,3.676,-70.84141,8.144,186.89256
A,right,C3,beta,30,0.0,0.5,-81.40796,7.816,203.00029
A,right,C4,mu,0,0.0,2.212,-84.8518,,
A,right,C4,mu,1,1.152,4.272,-86.26825,,
A,right,C4,mu,2,0.208,2.376,-93.496,,
A,right,C4,mu,3,0.324,1.932,-94.477325,,
A,right,C4,mu,4,0.88,1.316,-81.79257,,
A,right,C4,mu,5,0.752,0.976,-89.5503,,
A,right,C4,mu,6,0.0,3.22,-66.86139,,
A,right,C4,mu,7,0.0,4.268,-89.71429,,
A,right,C4,mu,8,1.536,3.776,-82.406654,,
A,right,C4,mu,9,1.632,1.812,-93.49797,,
A,right,C4,mu,10,0.512,1.02,-96.034935,,
A,right,C4,mu,11,0.576,0.676,-95.32371,,
A,right,C4,mu,12,0.208,0.968,-84.95001,,
A,right,C4,mu,13,0.256,1.756,-93.79361,,
A,right,C4,mu,14,4.192,3.712,-61.186115,,
A,right,C4,mu,15,1.204,3.12,-87.815,,
A,right,C4,mu,16,0.44,4.184,-88.70368,,
A,right,C4,mu,17,0.704,1.304,-83.60274,,
A,right,C4,mu,18,0.356,0.508,-92.969,,
A,right,C4,mu,19,0.536,3.352,-91.78724,,
A,right,C4,mu,20,0.82,0.944,-88.131325,,
A,right,C4,mu,21,0.144,2.772,-88.20442,,
A,right,C4,mu,22,0.224,3.308,-94.72306,,
A,right,C4,mu,23,1.932,4.268,-86.556625,,
A,right,C4,mu,24,0.0,1.436,-75.06502,,
A,right,C4,mu,25,0.06,3.004,-88.19446,,
A,right,C4,mu,26,1.224,2.368,-72.46351,,
A,right,C4,mu,27,0.576,2.596,-81.47334,,
A,right,C4,mu,28,0.0,2.312,-86.9276,,
A,right,C4,mu,29,0.36,2.164,-88.65459,,
A,right,C4,mu,30,0.0,2.144,-84.50893,,
A,right,C4,beta,0,0.312,1.972,-78.15714,6.932,172.91489
A,right,C4,beta,1,0.0,3.684,-81.85528,7.804,221.39883
A,right,C4,beta,2,0.256,0.892,-87.44019,6.252,173.11421
A,right,C4,beta,3,2.016,2.62,-86.13699,7.096,137.3547
A,right,C4,beta,4,0.612,3.812,-83.42349,8.26,146.9699
A,right,C4,beta,5,1.568,1.628,-82.04185,8.252,316.94556
A,right,C4,beta,6,0.268,3.388,-77.23914,8.224,183.21935
A,right,C4,beta,7,1.124,2.048,-84.79834,7.576,409.09286
A,right,C4,beta,8,2.588,4.188,-82.893486,7.372,390.04684
A,right,C4,beta,9,1.524,2.728,-81.613525,8.06,145.56816
A,right,C4,beta,10,0.0,2.72,-85.112206,7.792,214.41861
A,right,C4,beta,11,0.044,4.488,-81.72386,8.5,90.63591
