modality,model,end_s,fold,bal_acc
VA,CSP+LDA,0.6,4,0.6166666666666667
VA,CSP+LDA,0.7,0,0.41666666666666663
VA,CSP+LDA,0.7,1,0.5333333333333333
VA,CSP+LDA,0.7,2,0.4666666666666667
VA,CSP+LDA,0.7,3,0.7166666666666667
VA,CSP+LDA,0.7,4,0.5166666666666667
VA,CSP+LDA,0.8,0,0.5
VA,CSP+LDA,0.8,1,0.6166666666666667
VA,CSP+LDA,0.8,2,0.4666666666666667
VA,CSP+LDA,0.8,3,0.6166666666666667
VA,CSP+LDA,0.8,4,0.5166666666666667
VA,CSP+LDA,0.9,0,0.3333333333333333
VA,CSP+LDA,0.9,1,0.45
VA,CSP+LDA,0.9,2,0.55
VA,CSP+LDA,0.9,3,0.7166666666666667
VA,CSP+LDA,0.9,4,0.5166666666666667
VA,CSP+LDA,1.0,0,0.3333333333333333
VA,CSP+LDA,1.0,1,0.45
VA,CSP+LDA,1.0,2,0.55
VA,CSP+LDA,1.0,3,0.7166666666666667
VA,CSP+LDA,1.0,4,0.43333333333333335
VA,CSP+LDA,1.1,0,0.41666666666666663
VA,CSP+LDA,1.1,1,0.43333333333333335
VA,CSP+LDA,1.1,2,0.55
VA,CSP+LDA,1.1,3,0.55
VA,CSP+LDA,1.1,4,0.55
VA,CSP+LDA,1.2,0,0.41666666666666663
VA,CSP+LDA,1.2,1,0.5333333333333333
VA,CSP+LDA,1.2,2,0.5666666666666667
VA,CSP+LDA,1.2,3,0.5333333333333333
VA,CSP+LDA,1.2,4,0.6166666666666667
VA,CSP+LDA,1.3,0,0.25
VA,CSP+LDA,1.3,1,0.25
VA,CSP+LDA,1.3,2,0.55
VA,CSP+LDA,1.3,3,0.45
VA,CSP+LDA,1.3,4,0.6166666666666667
VA,CSP+LDA,1.4,0,0.3333333333333333
VA,CSP+LDA,1.4,1,0.3333333333333333
VA,CSP+LDA,1.4,2,0.65
VA,CSP+LDA,1.4,3,0.6333333333333333
VA,CSP+LDA,1.4,4,0.3333333333333333
VA,CSP+LDA,1.5,0,0.3333333333333333
VA,CSP+LDA,1.5,1,0.5333333333333333
VA,CSP+LDA,1.5,2,0.5666666666666667
VA,CSP+LDA,1.5,3,0.5333333333333333
VA,CSP+LDA,1.5,4,0.25
VA,CSP+LDA,1.6,0,0.3333333333333333
VA,CSP+LDA,1.6,1,0.5333333333333333
VA,CSP+LDA,1.6,2,0.55
VA,CSP+LDA,1.6,3,0.45
VA,CSP+LDA,1.6,4,0.3333333333333333
VA,CSP+LDA,1.7,0,0.3333333333333333
VA,CSP+LDA,1.7,1,0.43333333333333335
VA,CSP+LDA,1.7,2,0.55
VA,CSP+LDA,1.7,3,0.45
VA,CSP+LDA,1.7,4,0.25
VA,CSP+LDA,1.8,0,0.41666666666666663
VA,CSP+LDA,1.8,1,0.5166666666666667
VA,CSP+LDA,1.8,2,0.55
VA,CSP+LDA,1.8,3,0.6166666666666667
VA,CSP+LDA,1.8,4,0.25
VA,CSP+LDA,1.9,0,0.3333333333333333
VA,CSP+LDA,1.9,1,0.5166666666666667
VA,CSP+LDA,1.9,2,0.3833333333333333
