modality,model,time_s,fold,bal_acc
A,CSP+LDA,6.1,1,0.41666666666666663
A,CSP+LDA,6.199999999999999,1,0.3333333333333333
A,CSP+LDA,6.300000000000001,1,0.3333333333333333
A,CSP+LDA,6.4,1,0.3333333333333333
A,CSP+LDA,6.5,1,0.3333333333333333
A,CSP+LDA,6.6,1,0.3333333333333333
A,CSP+LDA,6.699999999999999,1,0.3333333333333333
A,CSP+LDA,6.800000000000001,1,0.3333333333333333
A,CSP+LDA,6.9,1,0.3333333333333333
A,CSP+LDA,7.0,1,0.3333333333333333
A,CSP+LDA,7.1,1,0.3333333333333333
A,CSP+LDA,7.199999999999999,1,0.3333333333333333
A,CSP+LDA,7.300000000000001,1,0.25
A,CSP+LDA,7.4,1,0.3333333333333333
A,CSP+LDA,7.5,1,0.41666666666666663
A,CSP+LDA,7.6,1,0.41666666666666663
