modality,hand,channel,band,metric,unit,n_total,n_valid,prop_valid,mean,std,sem,median,mad,q1,q3,iqr,median_lo,median_hi
VA,left,C3,mu,erd_onset_s,s,23,23,1.0,0.22486956521739132,0.20251134745935195,0.04222653495539545,0.172,0.14,0.054,0.35,0.296,0.092,0.304
VA,left,C4,beta,erd_onset_s,s,25,25,1.0,0.34928,0.3541858645777195,0.0708371729155439,0.272,0.24000000000000002,0.04,0.516,0.47600000000000003,0.1,0.428
VA,left,C4,mu,erd_onset_s,s,25,24,0.96,0.25466666666666665,0.23972061032479614,0.04893276467702595,0.196,0.196,0.015,0.464,0.449,0.036,0.4
VA,right,C3,beta,erd_onset_s,s,23,23,1.0,0.6366956521739131,0.4642689693370946,0.0968067721062063,0.532,0.244,0.32999999999999996,0.766,0.43600000000000005,0.436,0.708
VA,right,C3,mu,erd_onset_s,s,25,25,1.0,0.28944,0.2842836142540286,0.056856722850805716,0.232,0.17599999999999996,0.036,0.404,0.36800000000000005,0.104,0.388
VA,right,C4,beta,erd_onset_s,s,24,24,1.0,0.5081666666666668,0.45572452268855373,0.09302437865503102,0.42400000000000004,0.32399999999999995,0.163,0.769,0.606,0.2,0.69
VA,right,C4,mu,erd_onset_s,s,28,28,1.0,0.3672857142857143,0.32438487167798835,0.06130297853796833,0.314,0.31,0.006,0.6,0.594,0.154,0.52
A,left,C3,beta,erd_peak_amp_pct,%,25,25,1.0,-82.56081085205078,7.673083706952453,1.5346167413904905,-84.6273422241211,4.420494079589844,-88.53909301757812,-79.26759338378906,9.271499633789062,-87.26519012451172,-79.5835189819336
A,left,C3,mu,erd_peak_amp_pct,%,26,26,1.0,-85.61642954899715,8.017689101241876,1.572398199275097,-87.16473770141602,4.600399017333984,-91.43255424499512,-81.80250549316406,9.630048751831055,-90.39443969726562,-83.28702926635742
A,left,C4,beta,erd_peak_amp_pct,%,20,20,1.0,-81.37436294555664,7.776739839119619,1.7389318923602246,-81.99668502807617,6.10162353515625,-88.23250389099121,-76.23219299316406,12.000310897827148,-87.78589248657227,-77.01029205322266
A,left,C4,mu,erd_peak_amp_pct,%,21,21,1.0,-88.05560847691127,7.355658594241679,1.6051362997316647,-90.51740264892578,3.4240951538085938,-92.49079132080078,-86.27033233642578,6.220458984375,-92.45140838623047,-86.83549499511719
A,right,C3,beta,erd_peak_amp_pct,%,30,30,1.0,-84.06615575154622,6.241846917487523,1.1396001190673346,-85.75464630126953,3.2294921875,-88.11358070373535,-81.63449096679688,6.479089736938477,-87.71680068969727,-83.4795150756836
A,right,C3,mu,erd_peak_amp_pct,%,24,24,1.0,-88.30068016052246,5.497381577926307,1.1221483156079743,-89.32416534423828,3.746257781982422,-92.43927192687988,-85.08027458190918,7.358997344970703,-91.9518051147461,-85.46699523925781
A,right,C4,beta,erd_peak_amp_pct,%,23,23,1.0,-83.90721727454144,6.51858880150307,1.3592197244244222,-83.42349243164062,4.523811340332031,-87.63558197021484,-78.52841186523438,9.107170104980469,-86.98544311523438,-79.1002426147461
A,right,C4,mu,erd_peak_amp_pct,%,28,28,1.0,-86.8837411063058,6.945567480066028,1.3125888761765914,-88.16289138793945,4.107059478759766,-92.08267974853516,-84.28237915039062,7.800300598144531,-89.55030059814453,-84.90090560913086
V,left,C3,beta,erd_peak_amp_pct,%,24,24,1.0,-79.37945127487183,7.449388007764665,1.5205999595859636,-78.35472106933594,2.70684814453125,-82.22708702087402,-77.06059646606445,5.16649055480957,-81.87523651123047,-77.3235092163086
V,left,C3,mu,erd_peak_amp_pct,%,20,20,1.0,-85.50286693572998,9.500122488642711,2.1242919679179577,-88.84249877929688,4.433494567871094,-92.20222282409668,-79.56181526184082,12.64040756225586,-91.93901443481445,-81.55805969238281
V,left,C4,beta,erd_peak_amp_pct,%,26,26,1.0,-82.67296776404747,6.676097006345595,1.3092903426920985,-84.58784103393555,4.553508758544922,-86.84661293029785,-77.79240798950195,9.054204940795898,-85.83981704711914,-79.58231353759766
V,left,C4,mu,erd_peak_amp_pct,%,23,23,1.0,-83.97168748275094,9.837681883295863,2.051298473575337,-84.96047973632812,5.527397155761719,-90.40056610107422,-79.91363906860352,10.486927032470703,-88.99688720703125,-80.39419555664062
V,right,C3,beta,erd_peak_amp_pct,%,23,23,1.0,-81.37029548313306,8.892032814331674,1.8541170120566508,-82.72267150878906,5.369964599609375,-87.62686920166016,-76.17783737182617,11.449031829833984,-87.16110229492188,-77.76299285888672
